rain_qy,inflow_qy,outflow_qy,reserve_qy,reserve_rt,tot_qy,valid_qy,unused_qy,maximum_use_qy,avg_hmd,avg_tmr,avg_wv,sun_sum,dam_nm_섬진강,dam_nm_용담,dam_nm_임하,dam_nm_주암(본),dam_nm_합천,year_2019,year_2020,year_2021,year_2022,season_autumn,season_spring,season_summer,season_winter
0.0,2.4872372651262826,1.6467336971777973,320.079,0.687,466.0,429.0,6.7,429.0,0.761,5.2,0.7419373447293773,1.7578579175523736,1,0,0,0,0,0,1,0,0,0,1,0,0
0.0,0.0,1.529745143524852,271.3856,0.5824,466.0,429.0,6.7,429.0,0.508,6.4,0.5877866649021191,2.8130106367386967,1,0,0,0,0,0,0,0,1,0,1,0,0
0.0,3.178470410233162,2.5125218168209735,185.379,0.3979999999999999,466.0,429.0,6.7,429.0,0.7909999999999999,25.1,1.0296194171811583,2.8875901149342877,1,0,0,0,0,1,0,0,0,1,0,0,0
0.0,1.6789639750827106,2.0268315914075385,297.4211,0.6382,466.0,429.0,6.7,429.0,0.8370000000000001,19.4,0.5306282510621704,2.9496883350525844,1,0,0,0,0,0,0,1,0,1,0,0,0
0.0,1.5400878342993072,3.354035890484543,222.7623,0.478,466.0,429.0,6.7,429.0,0.7590000000000001,26.1,0.7419373447293773,2.341805806147327,1,0,0,0,0,0,0,1,0,0,0,1,0
0.0,0.06672363204290818,3.5794272455528535,176.3479,0.3784,466.0,429.0,6.7,429.0,0.5700000000000001,19.1,0.7419373447293773,2.501435951739211,1,0,0,0,0,0,0,0,1,0,1,0,0
1.3862943611198906,1.3842923584492175,1.3842923584492175,318.307,0.6829999999999999,466.0,429.0,6.7,429.0,0.8590000000000001,1.9,0.6931471805599453,2.302585092994046,1,0,0,0,0,1,0,0,0,0,0,0,1
0.0,1.144222799920162,1.8471941761161554,88.1639,0.1892,466.0,429.0,6.7,429.0,0.708,10.4,0.18232155679395462,2.3758355547336385,1,0,0,0,0,0,0,0,1,1,0,0,0
0.0,1.8693376038734297,2.1675668813159574,302.2617,0.6486,466.0,429.0,6.7,429.0,0.544,12.7,0.6931471805599453,2.5416019934645457,1,0,0,0,0,0,0,1,0,0,1,0,0
0.0,3.436950551367973,3.0081547935525483,120.1888,0.2579,466.0,429.0,6.7,429.0,0.7959999999999999,23.5,0.5877866649021191,2.302585092994046,1,0,0,0,0,0,0,0,1,0,0,1,0
