rain_qy,inflow_qy,outflow_qy,reserve_qy,reserve_rt,tot_qy,valid_qy,unused_qy,maximum_use_qy,avg_hmd,avg_tmr,avg_wv,sun_sum,dam_nm_대청,dam_nm_안동,year_2019,year_2020,year_2021,year_2022,season_autumn,season_spring,season_summer,season_winter
1.0910168495462786,2.7534059028230073,3.4024965373937754,1099.719,0.738,1490.0,790.0,450.0,790.0,0.568,4.3,0.7884573603642702,4.8,1,0,1,0,0,0,0,0,0,1
0.0,2.664098313573027,3.4802241888681267,957.6697,0.6426999999999999,1490.0,790.0,450.0,790.0,0.593,15.2,0.4054651081081644,7.7,1,0,0,0,0,1,1,0,0,0
0.0,3.475964660235151,3.475964660235151,872.636,0.5860000000000001,1490.0,790.0,450.0,790.0,0.426,15.5,0.6931471805599453,11.4,1,0,0,0,1,0,0,1,0,0
0.053540766928029816,5.465076792418949,3.5090647525311622,983.7546,0.6602,1490.0,790.0,450.0,790.0,0.7290000000000001,25.6,0.6931471805599453,7.1,1,0,0,0,0,1,0,0,1,0
1.435750969832483,4.075144753194474,4.075144753194474,876.448,0.588,1490.0,790.0,450.0,790.0,0.756,26.9,0.9932517730102834,0.3,1,0,0,0,1,0,0,0,1,0
0.0,3.6232736970159425,3.402130279710756,1168.474,0.784,1490.0,790.0,450.0,790.0,0.603,14.7,0.832909122935104,10.6,1,0,1,0,0,0,1,0,0,0
0.0,2.9418039315284354,3.9324724822955557,899.5296,0.604,1490.0,790.0,450.0,790.0,0.5810000000000001,20.1,0.832909122935104,10.7,1,0,0,0,0,1,0,1,0,0
0.05116828657439943,4.192363192074076,4.092559636856848,871.006,0.585,1490.0,790.0,450.0,790.0,0.72,27.3,0.7419373447293773,4.8,1,0,0,0,1,0,0,0,1,0
0.0,3.351902089937278,4.609082522808007,1100.339,0.7390000000000001,1490.0,790.0,450.0,790.0,0.39,9.8,0.9162907318741551,10.6,1,0,0,1,0,0,0,1,0,0
0.0,2.525248529071378,3.5421759749217276,934.2201,0.627,1490.0,790.0,450.0,790.0,0.51,9.3,0.7884573603642702,8.5,1,0,0,0,0,1,1,0,0,0
1.0075928902809412,4.790719860133471,5.077034582931311,967.268,0.649,1490.0,790.0,450.0,790.0,0.773,21.3,0.6418538861723948,0.7,1,0,0,1,0,0,0,0,1,0
0.0,3.15136756508544,3.5040246914616255,1057.5385,0.71,1490.0,790.0,450.0,790.0,0.705,1.3,0.8754687373538999,3.5,1,0,0,0,1,0,1,0,0,0
2.556079365908583,3.40635074690295,3.40635074690295,1116.519,0.7490000000000001,1490.0,790.0,450.0,790.0,0.675,5.7,1.4586150226995167,1.2,1,0,0,1,0,0,0,0,0,1
1.0805162043987009,3.247346656843895,3.4936550119644583,1090.385,0.7320000000000001,1490.0,790.0,450.0,790.0,0.6970000000000001,11.3,0.832909122935104,6.2,1,0,0,0,1,0,1,0,0,0
0.0,3.5020075602211636,3.5020075602211636,928.045,0.623,1490.0,790.0,450.0,790.0,0.419,9.8,0.7419373447293773,11.6,1,0,0,0,0,1,0,1,0,0
0.005484930230569685,3.4009640211023644,3.4009640211023644,1054.449,0.708,1490.0,790.0,450.0,790.0,0.449,7.6,0.5306282510621704,9.4,1,0,1,0,0,0,0,1,0,0
0.07881118042428978,4.253894923210513,3.530176762918616,823.652,0.5529999999999999,1490.0,790.0,450.0,790.0,0.691,26.9,0.7884573603642702,11.1,1,0,1,0,0,0,0,0,1,0
0.0,3.1395295413017577,3.4063839083494556,1072.056,0.72,1490.0,790.0,450.0,790.0,0.535,1.1,1.2237754316221157,7.5,1,0,1,0,0,0,0,0,0,1
0.0,3.8291847271191415,3.471438362824967,1037.016,0.696,1490.0,790.0,450.0,790.0,0.621,13.2,0.6931471805599453,7.8,1,0,1,0,0,0,0,1,0,0
3.046862554655598,6.3884454324344535,6.886932992009676,919.192,0.617,1490.0,790.0,450.0,790.0,0.873,25.6,1.1631508098056809,2.6,1,0,0,1,0,0,0,0,1,0
0.0,4.083957469335614,3.3916856212895596,1165.266,0.782,1490.0,790.0,450.0,790.0,0.6559999999999999,17.6,0.6418538861723948,10.3,1,0,1,0,0,0,1,0,0,0
0.0,6.842350249201029,7.325071879886323,990.393,0.665,1490.0,790.0,450.0,790.0,0.775,29.4,0.8754687373538999,6.9,1,0,0,1,0,0,0,0,1,0
0.0,2.6227827571225064,3.5282704642256313,983.1705,0.6598,1490.0,790.0,450.0,790.0,0.539,12.7,0.5306282510621704,9.7,1,0,0,0,0,1,1,0,0,0
0.0,3.7241500681958555,3.7084124372162504,912.3792,0.612,1490.0,790.0,450.0,790.0,0.3,17.9,0.9932517730102834,12.1,1,0,0,0,0,1,0,1,0,0
1.276674788541681,6.31554785691638,5.507779756106367,938.805,0.63,1490.0,790.0,450.0,790.0,0.756,26.3,0.7884573603642702,6.4,1,0,0,0,1,0,0,0,1,0
0.0,2.7065824578271753,3.386489752789881,1130.95,0.7590000000000001,1490.0,790.0,450.0,790.0,0.627,12.1,0.7419373447293773,9.3,1,0,1,0,0,0,1,0,0,0
3.4538783794105212,3.921042209848306,5.079669942488318,923.656,0.62,1490.0,790.0,450.0,790.0,0.713,25.4,0.7884573603642702,6.8,1,0,0,1,0,0,0,0,1,0
0.0,2.9072288749625876,3.462072952380437,989.6077,0.664,1490.0,790.0,450.0,790.0,0.6409999999999999,15.1,0.6418538861723948,9.6,1,0,0,0,0,1,1,0,0,0
1.4357747632107871,2.744960555122307,4.1045423871985465,914.186,0.614,1490.0,790.0,450.0,790.0,0.578,25.3,1.0296194171811583,10.9,1,0,0,1,0,0,0,0,1,0
3.7907679492783837,4.003708441962656,4.003708441962656,907.536,0.609,1490.0,790.0,450.0,790.0,0.733,26.7,0.8754687373538999,8.2,1,0,1,0,0,0,0,0,1,0
0.1725237143138436,4.189381977556852,3.835185156703521,947.298,0.636,1490.0,790.0,450.0,790.0,0.821,24.6,1.0986122886681096,3.5,1,0,1,0,0,0,1,0,0,0
1.5215679851774597,3.346142635913011,3.551397410792674,912.882,0.6127,1490.0,790.0,450.0,790.0,0.8570000000000001,10.9,0.9932517730102834,1.3,1,0,0,0,0,1,0,1,0,0
0.18888331462909566,2.7257591348829835,3.39591679721823,1129.691,0.758,1490.0,790.0,450.0,790.0,0.65,14.0,0.7419373447293773,6.1,1,0,1,0,0,0,1,0,0,0
0.15306437572683676,2.792146221455312,4.013694725838778,931.497,0.625,1490.0,790.0,450.0,790.0,0.665,31.1,0.7419373447293773,15.0,1,0,1,0,0,0,0,0,1,0
0.0,2.841181513705393,3.927128343203749,985.742,0.662,1490.0,790.0,450.0,790.0,0.37,13.1,0.9932517730102834,10.8,1,0,0,1,0,0,0,1,0,0
0.0,2.4653839832991364,3.452808958725734,945.068,0.634,1490.0,790.0,450.0,790.0,0.402,-5.5,1.0296194171811583,7.1,1,0,0,1,0,0,0,0,0,1
0.0,2.7949615730915065,3.4092316866904775,1040.608,0.698,1490.0,790.0,450.0,790.0,0.491,7.3,0.8754687373538999,12.7,1,0,1,0,0,0,0,1,0,0
1.65605428706268,3.2960590635388507,4.074855885638239,718.7616,0.4824,1490.0,790.0,450.0,790.0,0.8079999999999999,26.3,0.9162907318741551,8.8,1,0,0,0,0,1,0,0,1,0
0.0,3.1465201626760604,3.782438100879455,1027.471,0.6900000000000001,1490.0,790.0,450.0,790.0,0.435,9.0,1.1631508098056809,10.6,1,0,0,1,0,0,0,1,0,0
0.0,1.8368921593353946,4.192907023378928,968.417,0.65,1490.0,790.0,450.0,790.0,0.44,24.5,0.832909122935104,14.5,1,0,1,0,0,0,0,1,0,0
0.22999999211069616,4.110463944101984,4.110463944101984,986.904,0.662,1490.0,790.0,450.0,790.0,0.648,24.2,0.8754687373538999,9.4,1,0,0,1,0,0,0,0,1,0
0.0,3.1814646734700274,3.433664571799657,1032.833,0.693,1490.0,790.0,450.0,790.0,0.688,17.5,0.7419373447293773,6.5,1,0,1,0,0,0,0,1,0,0
1.3842422569937598,4.085875467130721,3.855621951777376,833.486,0.559,1490.0,790.0,450.0,790.0,0.866,15.2,0.9932517730102834,5.0,1,0,0,0,1,0,0,1,0,0
0.0641947120419968,3.539567050926927,3.863357833446865,952.41,0.639,1490.0,790.0,450.0,790.0,0.8109999999999999,18.3,0.8754687373538999,2.1,1,0,0,1,0,0,0,1,0,0
1.1635569773084917,2.9052056343544326,3.45719957177744,975.013,0.654,1490.0,790.0,450.0,790.0,0.86,16.5,0.4700036292457356,2.6,1,0,0,1,0,0,1,0,0,0
0.0,3.720547680440733,3.858896452701568,834.544,0.56,1490.0,790.0,450.0,790.0,0.486,20.4,0.9162907318741551,7.9,1,0,0,0,1,0,0,1,0,0
0.0,3.2554391641752476,4.132330539043147,819.807,0.55,1490.0,790.0,450.0,790.0,0.67,23.6,0.832909122935104,10.1,1,0,0,0,1,0,0,0,1,0
0.9043396007544007,3.308204514812991,4.109348110639201,720.6911,0.4836999999999999,1490.0,790.0,450.0,790.0,0.73,30.5,0.9555114450274365,4.8,1,0,0,0,0,1,0,0,1,0
0.0,3.225930879341878,3.476583108568045,1087.284,0.73,1490.0,790.0,450.0,790.0,0.664,11.6,0.5877866649021191,9.5,1,0,0,0,1,0,1,0,0,0
1.5211311513421015,4.4013634672300235,3.714132885026067,996.809,0.669,1490.0,790.0,450.0,790.0,0.8,21.9,0.7419373447293773,4.6,1,0,0,1,0,0,1,0,0,0
0.0,2.8935334212337436,3.6053076096899583,860.722,0.578,1490.0,790.0,450.0,790.0,0.331,17.0,0.9932517730102834,12.1,1,0,0,0,1,0,0,1,0,0
0.0,2.8780179855344348,3.4801009792576214,961.5848,0.6454000000000001,1490.0,790.0,450.0,790.0,0.445,0.3,0.7884573603642702,8.7,1,0,0,0,0,1,0,0,0,1
