rain_qy,inflow_qy,outflow_qy,reserve_qy,reserve_rt,tot_qy,valid_qy,unused_qy,maximum_use_qy,avg_hmd,avg_tmr,avg_wv,sun_sum,dam_nm_소양강,dam_nm_충주,year_2019,year_2020,year_2021,year_2022,season_autumn,season_spring,season_summer,season_winter
0.0,0.5247285289349821,4.390738575275903,1606.326,0.554,2900.0,1900.0,650.0,1900.0,0.583,22.3,0.8754687373538999,2.72785282839839,1,0,1,0,0,0,0,0,1,0
0.0,2.6610284723287387,3.897802369788174,1785.594,0.616,2900.0,1900.0,650.0,1900.0,0.6509999999999999,-2.1,0.5877866649021191,2.2082744135228043,1,0,0,1,0,0,1,0,0,0
0.0,3.5568897296509845,4.337068493915251,1514.653,0.5223,2900.0,1900.0,650.0,1900.0,0.705,12.3,0.6931471805599453,2.302585092994046,1,0,0,0,1,0,0,1,0,0
1.7379542506691081,5.273276443304552,6.161920147742988,2093.527,0.7219,2900.0,1900.0,650.0,1900.0,0.881,24.6,0.9162907318741551,2.1400661634962708,1,0,0,0,0,1,0,0,1,0
0.0,2.856642605152037,4.588196952180381,2087.2694,0.7197,2900.0,1900.0,650.0,1900.0,0.885,18.4,0.6931471805599453,2.186051276738094,1,0,0,0,0,1,1,0,0,0
0.0,2.58851563240702,3.621964778823429,1874.1592,0.6459999999999999,2900.0,1900.0,650.0,1900.0,0.645,1.2,0.7419373447293773,2.174751721484161,1,0,0,0,1,0,1,0,0,0
0.0,3.720232761771932,3.4345999199624813,1553.824,0.536,2900.0,1900.0,650.0,1900.0,0.746,21.3,0.832909122935104,2.2925347571405443,1,0,0,1,0,0,0,1,0,0
2.048079865236822,5.6319176258448165,3.4343419802544575,1613.0686,0.5562,2900.0,1900.0,650.0,1900.0,0.88,24.5,0.6418538861723948,1.8718021769015913,1,0,0,0,0,1,0,0,1,0
2.0537775199243202,4.3368854299469595,4.3368854299469595,1525.86,0.5262,2900.0,1900.0,650.0,1900.0,0.8690000000000001,11.6,0.4700036292457356,1.6094379124341003,1,0,0,0,1,0,0,1,0,0
0.09975483313699225,5.824119283692761,5.74518030335213,2122.141,0.7320000000000001,2900.0,1900.0,650.0,1900.0,0.788,27.5,0.832909122935104,1.1314021114911006,1,0,0,1,0,0,0,0,1,0
0.0,5.115121427593394,4.337199233377837,1566.263,0.54,2900.0,1900.0,650.0,1900.0,0.659,19.2,0.7884573603642702,2.4159137783010487,1,0,0,0,1,0,0,1,0,0
0.0,1.844668124883457,4.299229094264029,1426.867,0.492,2900.0,1900.0,650.0,1900.0,0.585,27.2,1.410986973710262,2.785011242238338,1,0,1,0,0,0,0,0,1,0
1.403003974682838,4.996948725524815,3.5145855890072104,1930.159,0.6659999999999999,2900.0,1900.0,650.0,1900.0,0.861,23.8,0.7419373447293773,0.5877866649021191,1,0,0,1,0,0,0,0,1,0
0.9382870297460512,0.5181983780954038,4.262510848672319,1573.61,0.543,2900.0,1900.0,650.0,1900.0,0.735,3.9,0.9162907318741551,1.667706820558076,1,0,0,0,1,0,0,0,0,1
0.3972313031810608,3.3600628383036004,4.262848876844552,1145.0747,0.3949,2900.0,1900.0,650.0,1900.0,0.601,19.6,0.9162907318741551,2.760009940032921,1,0,0,0,0,1,0,0,1,0
0.0,2.6216931554456795,3.6229800073370235,1827.2079,0.63,2900.0,1900.0,650.0,1900.0,0.733,-0.8,0.4054651081081644,2.1633230256605382,1,0,0,0,1,0,0,0,0,1
0.24639121803390018,2.9187432320258555,4.390428737938025,1571.625,0.542,2900.0,1900.0,650.0,1900.0,0.768,17.7,1.0986122886681096,2.128231705849268,1,0,1,0,0,0,0,0,1,0
0.0,2.910010973148513,4.263186790792349,1385.4698,0.478,2900.0,1900.0,650.0,1900.0,0.658,16.1,1.1314021114911006,1.1939224684724346,1,0,0,0,0,1,0,1,0,0
0.0,2.022341949639263,4.394399770737023,1916.102,0.6609999999999999,2900.0,1900.0,650.0,1900.0,0.6409999999999999,11.3,0.7419373447293773,2.2512917986064953,1,0,0,1,0,0,1,0,0,0
2.8701010210538054,3.4388142452334622,3.4388142452334622,1525.662,0.526,2900.0,1900.0,650.0,1900.0,0.669,7.2,1.0986122886681096,1.5040773967762742,1,0,0,1,0,0,0,1,0,0
0.5879533176814398,3.8385702032191014,4.287042651661598,1604.963,0.5529999999999999,2900.0,1900.0,650.0,1900.0,0.8470000000000001,25.1,0.7419373447293773,2.0918640616783932,1,0,1,0,0,0,0,0,1,0
0.0,1.4676439068162137,2.772088597198099,1829.802,0.631,2900.0,1900.0,650.0,1900.0,0.736,1.4,0.5306282510621704,2.1633230256605382,1,0,1,0,0,0,0,0,0,1
0.0,2.3432470747129353,2.789875933626373,1848.991,0.638,2900.0,1900.0,650.0,1900.0,0.521,-3.0,0.6418538861723948,2.028148247292285,1,0,1,0,0,0,0,0,0,1
0.1625439291852801,4.60731787804555,5.478340450542688,2261.8766,0.78,2900.0,1900.0,650.0,1900.0,0.8340000000000001,22.0,1.1314021114911006,2.028148247292285,1,0,0,0,0,1,1,0,0,0
0.08581065641311086,3.746298944981423,3.6192613872330663,1524.789,0.526,2900.0,1900.0,650.0,1900.0,0.649,4.6,0.832909122935104,1.8245492920510458,1,0,0,1,0,0,0,1,0,0
0.0,2.0339210263780267,4.262736213482557,1487.2168,0.513,2900.0,1900.0,650.0,1900.0,0.473,7.7,0.9162907318741551,2.3513752571634776,1,0,0,0,0,1,0,1,0,0
