,dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
19111,용담,20210626,3.9814,96499537920.0,175434024960.0,400.178,49.1,83.8,22.0,0.8,3.1,672.52
19112,용담,20210627,0.1987,57383147520.00001,175553464320.0,398.811,48.9,74.5,23.7,0.9,6.3,672.52
19113,용담,20210628,2.8529,38108620800.0,175628113920.0,397.219,48.7,76.0,23.8,1.2,6.6,672.52
19114,용담,20210629,12.9861,77531074560.0,175531069440.0,396.085,48.6,87.5,22.2,0.8,4.0,672.52
19115,용담,20210630,2.2299,77934182400.0,175740088320.0,394.953,48.5,82.1,23.5,0.8,2.7,672.52
19116,용담,20210201,11.6513,94006241280.0,116162242559.99998,476.497,58.5,77.9,7.5,1.7,1.3,672.52
19117,용담,20210202,0.1351,49238876160.0,115662090240.00002,475.7287,58.4,45.1,-2.4,2.7,9.3,672.52
19118,용담,20210203,0.0,71432202240.0,115677020159.99998,475.2166,58.3,55.9,-2.0,1.3,9.3,672.52
19119,용담,20210204,2.2157,49530009600.0,115833784320.0,474.449,58.2,57.9,-0.7,1.7,9.4,672.52
19120,용담,20210205,0.1309,49656913920.00001,115893504000.0,473.683,58.1,58.6,0.0,0.8,5.7,672.52
19121,용담,20210206,0.0,27739791360.000004,115945758720.0,472.662,58.0,74.9,3.6,0.9,2.1,672.52
19122,용담,20210207,0.0,27918950400.0,116005478400.0,471.642,57.9,64.3,5.7,1.7,8.4,672.52
19123,용담,20210208,0.0,49985372160.0,115968153600.0,470.878,57.8,45.6,-1.8,2.2,9.9,672.52
19124,용담,20210209,0.0,28001064960.000004,115871109120.0,469.861,57.7,59.5,-1.8,0.8,10.1,672.52
19125,용담,20210210,0.0,28187688960.000004,115930828800.0,468.846,57.5,75.0,0.4,0.8,9.4,672.52
19126,용담,20210211,0.0,28598261760.000004,116214497280.0,467.832,57.4,71.3,3.4,0.5,5.6,672.52
