dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
충주,20190101,0,3056918.4,9040636.8,2147.765,78.1,59.7,-4.2,1.7,5.8,1789
횡성,20190101,0,32227.2,139449.6,71.945,82.8,62.5,-7.8,1,6.4,73.4
소양강,20190101,0,783043.2,1292457.6,1864.739,64.3,62.3,-7.1,1.4,5.4,1900
안동,20190101,0,96940.8,1466899.2,929.947,74.5,55.9,-3.9,2.2,6.2,1000
임하,20190101,0,0,739152,374.233,62.9,55.9,-3.9,2.2,6.2,424
성덕,20190101,0,0,58752,20.6,73.8,57.8,-4.8,2.5,6.2,24.8
영주,20190101,0,53654.4,56678.4,0.067,0.2,54.3,-3.6,5.5,8.3,160.4
군위,20190101,0,0,95990.4,28.127,57.8,48,-0.7,3.8,5.2,40.1
김천부항,20190101,0,18835.2,144547.2,40.009,73.7,59.6,-3.1,4.5,3.3,42.6
보현산,20190101,0,0,27993.6,9.543,43.2,47.7,-1,3.7,9.4,17.88
합천,20190101,0,124502.4,1389139.2,591.432,74.9,52.6,-2,1.2,8.8,560
남강,20190101,0,1505779.2,1229990.4,176.02,56.9,49.2,-1.4,1,6.8,299.7
밀양,20190101,0,1123.2,128476.8,57.75,78.5,47.4,-1.1,1.5,10.5,69.8
용담,20190101,0,177724.8,1139616,665.096,81.6,66.7,-4.2,1.2,3.3,672.52
대청,20190101,0,1260921.6,2508451.2,1112.149,74.6,61.1,-2.7,1.5,3.4,790
보령,20190101,0.3307,75081.6,264556.8,78.385,67.1,70.3,-1.1,1.2,3.9,108.7
부안,20190101,0,0,63158.4,34.668,68.9,68.5,-0.4,1.4,1.7,35.6
섬진강,20190101,0,57369.6,254275.2,319.488,68.6,72,-2.9,1.4,5,429
주암(본),20190101,0,0,893376,324.118,70.9,70.6,-0.4,3.7,6.7,352
주암(조),20190101,0,455760,588643.2,198.142,79.3,70.6,-0.4,3.7,6.7,210
장흥,20190101,0,25228.8,173232,98.792,51.7,65.3,1.1,2.9,4.5,171
충주,20190102,0,2209852.8,9036748.8,2140.938,77.9,57.6,-6.4,1,10.1,1789
횡성,20190102,0,31968,139104,71.838,82.7,60.7,-8,0.7,6.7,73.4
소양강,20190102,0,786585.6,1295913.6,1864.23,64.3,60.7,-7.6,0.9,5.7,1900
안동,20190102,0,94262.4,1462924.8,928.579,74.4,43.6,-2.9,2,7.4,1000
임하,20190102,0,124675.2,726105.6,373.631,62.8,43.6,-2.9,2,7.4,424
성덕,20190102,0,6912,43027.2,20.564,73.7,50.2,-4.3,2.1,7.4,24.8
영주,20190102,0,50544,52272,0.2913,0.2,37.5,-3.6,5.9,10.4,160.4
군위,20190102,0,24278.4,84585.6,28.066,57.6,39.5,-0.5,2.7,7,40.1
김천부항,20190102,0,25056,108777.6,39.925,73.5,49.9,-3.2,4.6,6.1,42.6
보현산,20190102,0,6048,22636.8,9.527,43.1,38.1,-0.9,3.3,11.7,17.88
합천,20190102,0,338428.8,1390867.2,590.38,74.7,52.1,-1.6,1.1,8.6,560
남강,20190102,0,1230163.2,1230163.2,176.02,56.9,49.2,-0.7,1.1,7.3,299.7
밀양,20190102,0,2505.6,129686.4,57.623,78.3,48.3,-1.9,1,11.5,69.8
용담,20190102,0.1351,178156.8,1139616,664.134,81.5,66.5,-5.1,0.9,6.5,672.52
대청,20190102,0,1906502.4,2529964.8,1111.526,74.6,51.1,-3.1,1.4,6.6,790
보령,20190102,0,72835.2,261705.6,78.197,66.9,67.9,-2.4,1.1,11.4,108.7
부안,20190102,0,46915.2,71193.6,34.644,68.9,68.1,-1,1.1,2.6,35.6
섬진강,20190102,0,257990.4,257990.4,319.488,68.6,74.9,-4.1,1.3,9.1,429
주암(본),20190102,0,438912,895190.4,323.661,70.8,69.7,-1,3.5,11.7,352
주암(조),20190102,0,455932.8,588816,198.009,79.2,69.7,-1,3.5,11.7,210
장흥,20190102,0,19958.4,167875.2,98.644,51.7,62.3,1.2,2.7,7,171
충주,20190103,0,1373932.8,9039427.2,2133.272,77.6,54.5,-6.3,0.8,10.1,1789
횡성,20190103,0,36028.8,143078.4,71.73,82.5,58.5,-7.5,0.5,6.8,73.4
소양강,20190103,0,276307.2,1294704,1863.212,64.3,59.7,-7.1,0.8,5.9,1900
안동,20190103,0,93830.4,1461283.2,927.211,74.3,40.3,-3,1,7.4,1000
임하,20190103,0,133747.2,734486.4,373.03,62.7,40.3,-3,1,7.4,424
성덕,20190103,0,0,31104,20.528,73.6,46.6,-5.3,1.1,7,24.8
영주,20190103,0,47779.2,48729.6,0.29,0.2,37.2,-3.7,3,9.9,160.4
군위,20190103,0,15984,76291.2,28.006,57.5,30.7,0,2.2,7.1,40.1
김천부항,20190103,0,47347.2,89164.8,39.883,73.5,42,-3.4,2.9,7.1,42.6
보현산,20190103,0,2937.6,19526.4,9.51,43,32.6,-1,2.1,12.4,17.88
합천,20190103,0,339811.2,1391040,589.328,74.6,53.8,-2.3,0.9,8.9,560
남강,20190103,0,1235606.4,1235606.4,176.02,56.9,50.3,-1.8,0.5,7.8,299.7
밀양,20190103,0,1036.8,128044.8,57.496,78.1,41.1,-1.7,0.9,11.7,69.8
용담,20190103,0,181180.8,1142208,663.173,81.4,58.9,-5.3,0.6,6.6,672.52
대청,20190103,0,1285718.4,2532038.4,1110.279,74.5,46.3,-2.5,0.9,6.9,790
보령,20190103,0,91756.8,280108.8,78.008,66.7,64.2,-2,1,11.7,108.7
부안,20190103,0,0,69379.2,34.571,68.7,73.3,-2.3,0.7,4.7,35.6
섬진강,20190103,0,62208,259113.6,319.292,68.5,64.8,-4.9,0.8,12,429
주암(본),20190103,0,0,887673.6,322.75,70.6,57,-0.8,2.6,12.2,352
주암(조),20190103,0,384566.4,583718.4,197.81,79.1,57,-0.8,2.6,12.2,210
장흥,20190103,0,24710.4,172540.8,98.497,51.6,56.8,0.6,2.2,12.8,171
충주,20190104,0,2237846.4,9038476.8,2126.472,77.3,57.7,-4.2,0.6,6.7,1789
횡성,20190104,0,34646.4,141609.6,71.624,82.4,60.6,-4.6,0.7,5.9,73.4
소양강,20190104,0,301795.2,1319846.4,1862.194,64.2,64.7,-4.8,1,4.5,1900
안동,20190104,0,98323.2,1464480,925.845,74.2,49.5,-2.4,1.3,5.9,1000
임하,20190104,0,132969.6,733017.6,372.43,62.6,49.5,-2.4,1.3,5.9,424
성덕,20190104,0,0,31881.6,20.492,73.5,50.3,-3.3,1.7,6.2,24.8
영주,20190104,0,51148.8,49852.8,0.2913,0.2,46.2,-3,3.3,7.7,160.4
군위,20190104,0,0,76377.6,27.926,57.3,37.8,0.5,1.8,5.4,40.1
김천부항,20190104,0,6134.4,89769.6,39.8,73.3,44.2,-2.1,3.2,4.8,42.6
보현산,20190104,0,2851.2,19440,9.493,42.9,40,-0.2,1.8,9.7,17.88
합천,20190104,0,339292.8,1389225.6,588.278,74.5,48.9,-1.6,0.5,5.9,560
남강,20190104,0,1229212.8,1229644.8,176.0196,56.9,46.8,-0.8,0.2,3.9,299.7
밀양,20190104,0,0,134697.6,57.351,77.9,39.7,-0.2,0.5,8.4,69.8
용담,20190104,0,181267.2,1141948.8,662.213,81.3,63.2,-4,0.7,4.2,672.52
대청,20190104,0,1278892.8,2524348.8,1109.034,74.4,52,-1.5,0.9,3.9,790
보령,20190104,0,91238.4,278985.6,77.821,66.6,65.3,-0.8,0.8,4.3,108.7
부안,20190104,0,0,66960,34.499,68.6,68.5,-1.6,0.6,0.1,35.6
섬진강,20190104,0,61776,258681.6,319.095,68.5,63.3,-3.5,0.7,6,429
주암(본),20190104,0,199929.6,881798.4,322.069,70.5,61.4,-0.9,1.7,4.2,352
주암(조),20190104,0,454809.6,587520,197.677,79.1,61.4,-0.9,1.7,4.2,210
장흥,20190104,0,20304,168048,98.349,51.5,67.6,-0.7,1.1,3,171
충주,20190105,0,2248300.8,9036576,2119.683,77.1,52.7,-2.4,1.1,9.5,1789
횡성,20190105,0,76204.8,129686.4,71.57,82.4,56.3,-3.2,0.8,6.5,73.4
소양강,20190105,0,1295481.6,1295481.6,1862.194,64.2,60.5,-4.3,0.9,5.6,1900
안동,20190105,0,551404.8,1461456,924.935,74.1,51.1,-1.1,1.2,6.8,1000
임하,20190105,0,0,738374.4,371.631,62.5,51.1,-1.1,1.2,6.8,424
성덕,20190105,0,0,32400,20.456,73.3,53,-0.9,2,6.2,24.8
영주,20190105,0,44755.2,47779.2,0.061,0.2,42.5,-0.3,4.6,9,160.4
군위,20190105,0,0,78105.6,27.845,57.2,39.6,2.4,2,6.2,40.1
김천부항,20190105,0,47520,89251.2,39.758,73.2,42.5,-0.2,4.2,6,42.6
보현산,20190105,0,0,19353.6,9.469,42.8,42.6,1.5,2.2,9.1,17.88
합천,20190105,0,342576,1391299.2,587.23,74.3,48.7,0.6,0.7,7.9,560
남강,20190105,0,1483401.6,1207872,176.2955,57,47.6,2.6,0.8,6.6,299.7
밀양,20190105,0,5702.4,132278.4,57.224,77.8,36.6,3.2,1.1,9.6,69.8
용담,20190105,0,500860.8,1141084.8,661.572,81.2,60.4,-2.2,0.9,6,672.52
대청,20190105,0,1276819.2,2521411.2,1107.789,74.4,43.5,-0.6,1.5,6.3,790
보령,20190105,0,86832,273974.4,77.633,66.4,55.9,-0.5,1.8,10,108.7
부안,20190105,0,17452.8,65750.4,34.45,68.5,57.3,0.5,1.7,1.2,35.6
섬진강,20190105,0,256780.8,256780.8,319.095,68.5,55.2,-0.9,1.2,10.2,429
주암(본),20190105,0,0,875145.6,321.161,70.3,57.3,2.7,3.2,8,352
주암(조),20190105,0,389059.2,588038.4,197.478,79,57.3,2.7,3.2,8,210
장흥,20190105,0,23673.6,171244.8,98.201,51.4,53.3,3.7,2.6,9.3,171
충주,20190106,0,2260569.6,9036489.6,2112.907,76.8,51.4,-4.8,0.8,9.3,1789
횡성,20190106,0,79142.4,132537.6,71.517,82.3,52.1,-5.4,0.8,7.3,73.4
소양강,20190106,0,276652.8,1294358.4,1861.176,64.2,53.8,-5.1,0.8,5.2,1900
안동,20190106,0,100224,1464307.2,923.571,74,47.3,-3.3,0.8,6.6,1000
임하,20190106,0,139449.6,737942.4,371.033,62.4,47.3,-3.3,0.8,6.6,424
성덕,20190106,0,0,31968,20.42,73.2,54.4,-5.4,0.6,6,24.8
영주,20190106,0,43459.2,46483.2,0.058,0.2,43,-3.7,2.4,8.9,160.4
군위,20190106,0,16761.6,76896,27.785,57.1,30.8,0.4,1.4,6.5,40.1
김천부항,20190106,0,26697.6,89337.6,39.695,73.1,33,-2.3,3.4,6.7,42.6
보현산,20190106,0,11059.2,19353.6,9.46,42.8,40.3,-1.5,1.2,10.3,17.88
합천,20190106,0,353203.2,1400630.4,586.182,74.2,44.6,-1.7,0.6,8.2,560
남강,20190106,0,1207872,1207872,176.296,57,38.4,0,0.6,7.2,299.7
밀양,20190106,0,3542.4,129945.6,57.098,77.6,39.2,-0.2,0.5,10.1,69.8
용담,20190106,0,181267.2,1141257.6,660.612,81.1,55,-4.4,0.7,6.6,672.52
대청,20190106,0,1895961.6,2517955.2,1107.167,74.3,48.5,-2.4,1.2,6.3,790
보령,20190106,0,77241.6,263865.6,77.447,66.3,58.6,-2,0.8,11.1,108.7
부안,20190106,0,0,64713.6,34.378,68.4,60.9,-1.3,0.9,4.4,35.6
섬진강,20190106,0,60566.4,257385.6,318.898,68.4,54.9,-3.2,1.1,11.2,429
주암(본),20190106,0,421977.6,874800,320.709,70.2,39.1,0.9,3.4,12.3,352
주암(조),20190106,0,322963.2,588038.4,197.213,78.9,39.1,0.9,3.4,12.3,210
장흥,20190106,0,20044.8,167529.6,98.054,51.3,41.7,2,2.2,12.3,171
충주,20190107,0,584150.4,9036835.2,2104.455,76.5,62.1,-4.5,1,9.1,1789
횡성,20190107,0,82080,135475.2,71.463,82.2,58,-5.5,0.8,6.8,73.4
소양강,20190107,0,786240,1294963.2,1860.667,64.2,57.6,-5.1,1.1,5.3,1900
안동,20190107,0,99187.2,1461974.4,922.208,73.9,52.3,-2.4,1.6,6.8,1000
임하,20190107,0,0,728438.4,370.236,62.2,52.3,-2.4,1.6,6.8,424
성덕,20190107,0,0,31968,20.384,73.1,52.5,-3.6,1.6,6.7,24.8
영주,20190107,0,49334.4,46310.4,0.061,0.2,42.5,-3.3,3.7,9.4,160.4
군위,20190107,0,0,75427.2,27.705,56.9,38.3,0.9,2.3,6.4,40.1
김천부항,20190107,0,6739.2,90201.6,39.612,73,52,-1.5,3.8,6.4,42.6
보현산,20190107,0,0,19353.6,9.436,42.7,38.5,0.4,2.3,11,17.88
합천,20190107,0,344304,1390521.6,585.136,74.1,49.9,-1.7,0.6,8.3,560
남강,20190107,0,1225411.2,1225411.2,176.296,57,45.1,-0.2,0.5,6.7,299.7
밀양,20190107,0,4924.8,131155.2,56.971,77.4,43.5,-0.4,0.7,10.5,69.8
용담,20190107,0,183081.6,1142726.4,659.653,80.9,67.8,-4.1,0.7,6,672.52
대청,20190107,0,668736,2533507.2,1105.303,74.2,62,-1.2,1.2,5.8,790
보령,20190107,0,77155.2,263174.4,77.261,66.1,70.1,-0.3,0.8,9.3,108.7
부안,20190107,0,16329.6,64540.8,34.33,68.3,72.7,-0.9,0.7,3.6,35.6
섬진강,20190107,0,257731.2,257731.2,318.898,68.4,72.3,-3.9,1,10.5,429
주암(본),20190107,0,0,888883.2,319.579,69.9,59.7,1.3,3.2,11.2,352
주암(조),20190107,0,389750.4,588384,197.014,78.8,59.7,1.3,3.2,11.2,210
장흥,20190107,0,17539.2,164937.6,97.906,51.3,62.5,2.4,2.3,11,171
충주,20190108,0,2290636.8,9038995.2,2097.706,76.3,51.8,-4,2.1,9.8,1789
횡성,20190108,0,29808,136512,71.356,82.1,49.3,-5.4,1.8,7,73.4
소양강,20190108,0,786931.2,1295568,1860.158,64.1,49.5,-5.1,1.9,6.1,1900
안동,20190108,0,100742.4,1462320,920.846,73.8,38.9,-0.9,3.1,7.3,1000
임하,20190108,0,133747.2,730684.8,369.639,62.1,38.9,-0.9,3.1,7.3,424
성덕,20190108,0,0,31968,20.348,72.9,38.5,-0.8,3.8,6.8,24.8
영주,20190108,0,41731.2,44755.2,0.058,0.2,31.8,-1.6,6.3,10,160.4
군위,20190108,0,0,77587.2,27.625,56.7,37.6,1.4,3.6,6.7,40.1
김천부항,20190108,0,26870.4,89424,39.549,72.8,46.1,-1.5,6,6.6,42.6
보현산,20190108,0,0,19267.2,9.411,42.6,33.8,1.3,4,11.1,17.88
합천,20190108,0,345859.2,1390780.8,584.091,73.9,45.5,0.1,1.2,8.4,560
남강,20190108,0,1231113.6,1231113.6,176.296,57,45.4,0.8,1.3,6.9,299.7
밀양,20190108,0,0,131673.6,56.827,77.2,42.2,1.2,1.5,11.1,69.8
용담,20190108,0,182563.2,1141862.4,658.693,80.8,58.1,-2.7,1.7,6.5,672.52
대청,20190108,0,1365638.4,2607811.2,1104.06,74.1,50.3,-1.6,1.8,6.6,790
보령,20190108,0,72230.4,257731.2,77.075,65.9,56.7,-0.9,1.8,10.7,108.7
부안,20190108,0,0,65836.8,34.233,68.1,66.1,-0.5,1.8,2.9,35.6
섬진강,20190108,0,44582.4,438220.8,318.504,68.4,63,-2.6,1.8,10.4,429
주암(본),20190108,0,202867.2,879120,318.902,69.8,63.1,0.6,3.7,11.2,352
주암(조),20190108,0,391305.6,589766.4,196.816,78.7,63.1,0.6,3.7,11.2,210
장흥,20190108,0,23155.2,170380.8,97.759,51.2,60.1,2.3,3.4,7.2,171
충주,20190109,0,2302560,9038649.6,2090.97,76,46.9,-6.6,0.8,8.5,1789
횡성,20190109,0,0,135129.6,71.197,81.9,49.9,-7.8,0.6,6.4,73.4
소양강,20190109,0,276566.4,1293580.8,1859.142,64.1,52.6,-8,0.7,4.5,1900
안동,20190109,0,101088,1461369.6,919.486,73.7,40.2,-4.6,0.7,6.3,1000
임하,20190109,0,0,734745.6,368.844,62,40.2,-4.6,0.7,6.3,424
성덕,20190109,0,0,31968,20.312,72.8,50.3,-6.2,0.7,5.8,24.8
영주,20190109,0,44582.4,44582.4,0.288,0.2,40.3,-6.2,1.4,8.3,160.4
군위,20190109,0,18144,78019.2,27.565,56.6,33,-1.3,1.6,6.2,40.1
김천부항,20190109,0,26956.8,89424,39.487,72.7,34.9,-4.5,1.8,5.9,42.6
보현산,20190109,0,10627.2,18835.2,9.403,42.5,33.4,-1.8,1.9,10.7,17.88
합천,20190109,0,344563.2,1388275.2,583.047,73.8,38.5,-1.3,0.8,7.8,560
남강,20190109,0,1231113.6,1231113.6,176.296,57,37.3,-0.4,1,5.5,299.7
밀양,20190109,0,4233.6,130118.4,56.701,77,37.6,-0.5,1,10.2,69.8
용담,20190109,0,195955.2,1141948.8,657.747,80.7,43.4,-5.3,0.9,5.7,672.52
대청,20190109,0,1284768,2526076.8,1102.819,74,35.9,-3.6,1.2,5.9,790
보령,20190109,0,90288,275270.4,76.89,65.8,42.4,-3.2,1,9,108.7
부안,20190109,0,41299.2,65318.4,34.209,68,43.6,-2.8,1.3,2.8,35.6
섬진강,20190109,0,362534.4,362534.4,318.504,68.4,42,-3.8,1.1,8.8,429
주암(본),20190109,0,398908.8,849139.2,318.452,69.7,47.2,-1.4,1.8,8.8,352
주암(조),20190109,0,455500.8,587779.2,196.684,78.7,47.2,-1.4,1.8,8.8,210
장흥,20190109,0,21772.8,168912,97.612,51.1,41.2,0.3,1.7,8.2,171
충주,20190110,0,1473724.8,9037180.8,2083.407,75.8,55.6,-2.4,1.2,6.2,1789
횡성,20190110,0,33609.6,140140.8,71.09,81.8,54.2,-3.2,1,6.3,73.4
소양강,20190110,0,278640,1295308.8,1858.125,64.1,58,-3.2,1.1,5.4,1900
안동,20190110,0,101952,1461024,918.127,73.6,50.7,-1,2,7,1000
임하,20190110,0,140745.6,736128,368.249,61.9,50.7,-1,2,7,424
성덕,20190110,0,0,31968,20.277,72.7,44.1,-0.8,2.7,6.7,24.8
영주,20190110,0,44841.6,44841.6,0.288,0.2,44.7,-2.1,4,9.5,160.4
군위,20190110,0,0,78451.2,27.486,56.4,40.6,1.5,3.2,6.2,40.1
김천부항,20190110,0,25833.6,88300.8,39.424,72.6,45.9,-1.6,4.4,3.5,42.6
보현산,20190110,0,0,17884.8,9.378,42.4,38.7,1.7,3,10,17.88
합천,20190110,0,347155.2,1389657.6,582.005,73.7,52.8,0.8,1,8.9,560
남강,20190110,0,958867.2,1234828.8,176.02,56.9,47,2.4,1.4,6.7,299.7
밀양,20190110,0,0,131155.2,56.558,76.8,48.3,1.5,1.2,11.4,69.8
용담,20190110,0,462931.2,1086652.8,657.124,80.6,58,-2.5,0.8,3.2,672.52
대청,20190110,0,1271289.6,2511734.4,1101.579,73.9,52.9,-1.1,0.9,2.4,790
보령,20190110,0,68083.2,252547.2,76.706,65.6,65.8,-0.9,0.7,2.2,108.7
부안,20190110,0,0,64972.8,34.137,67.9,63,0.1,0.2,2.7,35.6
섬진강,20190110,0,61689.6,258422.4,318.307,68.3,59.3,-1.4,1.1,5.4,429
주암(본),20190110,0,183427.2,857779.2,317.778,69.5,53.9,2,3.1,10.8,352
주암(조),20190110,0,323654.4,587952,196.419,78.6,53.9,2,3.1,10.8,210
장흥,20190110,0,20822.4,167875.2,97.465,51,53.2,3.1,2.1,7,171
충주,20190111,0,3164832,9036835.2,2077.535,75.6,63.6,0.8,0.9,8.8,1789
횡성,20190111,0,83116.8,136339.2,71.037,81.8,66.8,-1.8,0.6,7.5,73.4
소양강,20190111,0,792374.4,1300579.2,1857.617,64.1,71.2,-2.6,0.6,5.2,1900
안동,20190111,0,242956.8,1600732.8,916.769,73.5,62.4,0.4,0.6,6.9,1000
임하,20190111,0,150249.6,546825.6,367.852,61.8,62.4,0.4,0.6,6.9,424
성덕,20190111,0,8121.6,31968,20.253,72.6,68.4,-1.1,0.5,6.7,24.8
영주,20190111,0,42854.4,42854.4,0.288,0.2,63.6,-0.8,1.6,9,160.4
군위,20190111,0,17971.2,77760,27.426,56.3,54.5,2.8,1.3,6.1,40.1
김천부항,20190111,0,50371.2,112752,39.362,72.5,56.6,1.4,1.9,6.4,42.6
보현산,20190111,0,5270.4,21686.4,9.362,42.3,59.6,2.5,1,10.4,17.88
합천,20190111,0,348364.8,1389571.2,580.964,73.5,65.5,0.8,0.6,8.2,560
남강,20190111,0.0342,1235952,1235952,176.02,56.9,61.5,2.5,0.6,6.4,299.7
밀양,20190111,0,4406.4,129945.6,56.432,76.7,55.8,2.5,0.6,10.2,69.8
용담,20190111,0,388713.6,1012089.6,656.5,80.6,64.8,0.8,0.6,5.7,672.52
대청,20190111,0,1890086.4,2510006.4,1100.959,73.9,59.7,2.3,1,5.3,790
보령,20190111,0,46224,276048,76.476,65.4,67.5,2.9,0.6,8.4,108.7
부안,20190111,0,17107.2,65059.2,34.089,67.8,71,2.6,0.7,3.8,35.6
섬진강,20190111,0,258508.8,258508.8,318.307,68.3,65.5,0.4,0.6,10.2,429
주암(본),20190111,0,0,865641.6,316.881,69.3,63.1,3.4,2,11.2,352
주암(조),20190111,0,390441.6,588470.4,196.221,78.5,63.1,3.4,2,11.2,210
장흥,20190111,0,17798.4,164764.8,97.318,51,56.9,4.7,1.7,10.1,171
충주,20190112,0.4283,1498262.4,9034329.6,2069.999,75.3,61.5,2,0.8,6.7,1789
횡성,20190112,0,27302.4,133660.8,70.93,81.6,60,0.9,0.5,7.1,73.4
소양강,20190112,0,788313.6,1296432,1857.109,64,64.7,0.2,0.7,3.6,1900
안동,20190112,4.9235,696470.4,1600992,915.865,73.4,91.5,1.5,0.5,1.5,1000
임하,20190112,7.0123,346550.4,544752,367.654,61.8,91.5,1.5,0.5,1.5,424
성덕,20190112,8.3846,8121.6,31968,20.229,72.5,93.7,0.5,0.3,1.1,24.8
영주,20190112,2,44755.2,44755.2,0.288,0.2,84.9,0.6,1,2.9,160.4
군위,20190112,4.7634,20390.4,80179.2,27.366,56.2,86.7,3.4,0.7,1.4,40.1
김천부항,20190112,3.5763,48643.2,131760,39.279,72.3,79.5,1.7,2.4,4.3,42.6
보현산,20190112,6.575,11664,28080,9.345,42.3,87.5,3,1.2,2.3,17.88
합천,20190112,4.5446,558230.4,1390348.8,580.132,73.4,92,2.8,0.5,3.6,560
남강,20190112,5.382,1505433.6,1229472,176.296,57,82.5,4,0.6,4,299.7
밀양,20190112,3.8768,3456,128822.4,56.307,76.5,94.5,3.5,0.6,2.9,69.8
용담,20190112,4.3907,388886.4,1011916.8,655.877,80.5,83,2.1,0.6,5.7,672.52
대청,20190112,1.9773,1269734.4,2508969.6,1099.719,73.8,56.8,4.3,1.2,4.8,790
보령,20190112,0,85276.8,268617.6,76.293,65.3,63.6,4.1,0.6,7.9,108.7
부안,20190112,2,16588.8,64540.8,34.041,67.7,79.3,4.1,1.4,3.3,35.6
섬진강,20190112,3,258508.8,258508.8,318.307,68.3,85.9,1.9,1,9,429
주암(본),20190112,2.1764,189216,860803.2,316.209,69.2,85.5,4,2.2,10.2,352
주암(조),20190112,1,455587.2,587520,196.089,78.4,85.5,4,2.2,10.2,210
장흥,20190112,1.631,93052.8,166492.8,97.245,50.9,79,4.9,1.7,9.5,171
충주,20190113,0,2349475.2,9035280,2063.313,75,70,-1.4,0.7,8.6,1789
횡성,20190113,0,26524.8,132796.8,70.824,81.5,67.6,-1.7,0.4,7,73.4
소양강,20190113,0,787104,1295136,1856.601,64,72.2,-2.3,0.6,5.1,1900
안동,20190113,0,242524.8,1598227.2,914.509,73.3,97,-0.1,0.7,2.8,1000
임하,20190113,0.4186,0,548294.4,367.06,61.7,97,-0.1,0.7,2.8,424
성덕,20190113,0,0,31968,20.193,72.4,91.5,-0.1,0.4,2.5,24.8
영주,20190113,0,44841.6,44841.6,0.288,0.2,97.1,-2.6,0.8,3.9,160.4
군위,20190113,0,21686.4,81388.8,27.306,56.1,79.5,1.7,0.7,5.8,40.1
김천부항,20190113,0,7084.8,131673.6,39.154,72.1,59.9,1.3,3,6.7,42.6
보현산,20190113,0,3542.4,28080,9.321,42.2,84.3,0.7,0.8,8.5,17.88
합천,20190113,0,142992,1389657.6,578.885,73.3,82.9,1.3,0.8,9,560
남강,20190113,0,1233446.4,1233446.4,176.296,57,76.8,1.7,0.4,6.8,299.7
밀양,20190113,0,7430.4,132624,56.182,76.3,77.3,2.1,0.5,9.5,69.8
용담,20190113,0,78969.6,1012867.2,654.944,80.4,77.2,-0.1,0.7,6.2,672.52
대청,20190113,0,1275955.2,2514326.4,1098.481,73.7,59.8,1.9,0.9,6.3,790
보령,20190113,0,81216,264038.4,76.11,65.1,69.1,1.5,0.6,11.2,108.7
부안,20190113,0,0,63590.4,33.969,67.5,74.6,2,1.3,4.3,35.6
섬진강,20190113,0,258508.8,258508.8,318.307,68.3,78.8,-0.3,0.9,9.6,429
주암(본),20190113,0,193104,863481.6,315.539,69.1,69.7,3.6,2.6,11.6,352
주암(조),20190113,0,390441.6,588297.6,195.892,78.4,69.7,3.6,2.6,11.6,210
장흥,20190113,0,13046.4,159840,97.098,50.8,70.5,2.3,1.5,11.7,171
충주,20190114,0,2364422.4,9038044.8,2056.64,74.8,76.8,-2.6,0.7,6.5,1789
횡성,20190114,0,79920,133056,70.771,81.4,72.6,-2.6,0.5,6.5,73.4
소양강,20190114,0,280886.4,1296604.8,1855.585,64,74.8,-2.9,0.6,4.2,1900
안동,20190114,0,250473.6,1604880,913.155,73.2,95.1,-1.3,0.7,3.4,1000
임하,20190114,0.1555,151459.2,547084.8,366.664,61.6,95.1,-1.3,0.7,3.4,424
성덕,20190114,0,8208,31968,20.169,72.3,89.1,-0.8,0.4,4.3,24.8
영주,20190114,0,44841.6,44841.6,0.288,0.2,91.6,-3.8,0.9,4.1,160.4
군위,20190114,0,777.6,80265.6,27.227,55.9,64.6,1.9,0.9,6.4,40.1
김천부항,20190114,0,28080,131760,39.05,71.9,68.3,0.2,2.8,6.3,42.6
보현산,20190114,0,3628.8,28166.4,9.296,42,71.5,-0.1,0.8,9.3,17.88
합천,20190114,0,359337.6,1396915.2,577.847,73.2,72.8,0.4,0.6,9.2,560
남강,20190114,0,1235865.6,1235865.6,176.296,57,67.1,1.1,0.4,7,299.7
밀양,20190114,0,0,131068.8,56.039,76.1,69,1.5,0.4,11.3,69.8
용담,20190114,0,389145.6,1011312,654.321,80.3,77.9,-1.8,0.5,5.4,672.52
대청,20190114,0,1908230.4,2527113.6,1097.862,73.7,68.3,1.3,1,4.5,790
보령,20190114,0,69724.8,252028.8,75.927,65,76.2,1.4,0.7,7.4,108.7
부안,20190114,0,16156.8,64022.4,33.922,67.4,78.7,0.4,0.6,3.6,35.6
섬진강,20190114,0,61689.6,258422.4,318.111,68.3,77.2,-1.5,0.7,10.3,429
주암(본),20190114,0,419385.6,865641.6,315.092,69,71.6,1.1,1.4,11.7,352
주암(조),20190114,0,390268.8,587952,195.694,78.3,71.6,1.1,1.4,11.7,210
장흥,20190114,0,89769.6,163123.2,97.024,50.8,70.8,1.7,1.2,11.2,171
충주,20190115,0,1544659.2,9037958.4,2049.146,74.5,66.5,-1.2,2.3,5.2,1789
횡성,20190115,0,27043.2,133228.8,70.665,81.3,61.1,-1.6,1.6,5.1,73.4
소양강,20190115,0,784857.6,1292630.4,1855.077,64,64.4,-2.6,1.7,3.2,1900
안동,20190115,0,249609.6,1602806.4,911.801,73.1,67.9,-0.1,2.7,5.5,1000
임하,20190115,0,0,546307.2,366.071,61.5,67.9,-0.1,2.7,5.5,424
성덕,20190115,0,0,31968,20.122,72.1,67.7,0.1,3,5.4,24.8
영주,20190115,0,49334.4,49334.4,0.058,0.2,59.3,-0.9,5,5.6,160.4
