dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
용담,20220730,0,529286.4,1403913.6,370.9739,45.5,77.9,26.9,1.5,4.3,672.52
용담,20220731,29.1625,1597708.8,1401062.4,371.1706,45.54,95.1,24.9,0.7,0.1,672.52
임하,20220701,0,81561.6,1344902.4,170.033,28.58,70.4,28.2,1.3,18.4,424
임하,20220702,0,172108.8,1429488,168.7757,28.37,60.7,29.8,1.4,18,424
임하,20220703,1.4207,169862.4,1421107.2,167.5244,28.16,58.3,30,1.7,17.1,424
임하,20220704,0,174614.4,1419811.2,166.2792,27.95,66.4,28.8,1.4,14.3,424
임하,20220705,0,69379.2,1420761.6,164.9279,27.72,66.9,28.2,1.7,5.4,424
임하,20220706,1.762,82339.2,1091059.2,163.9192,27.55,76.9,27,1.6,4.6,424
임하,20220707,0,86227.2,1090713.6,162.9146,27.38,66.8,29.3,1.6,4.2,424
임하,20220708,1.1682,89596.8,1089936,161.9143,27.21,69.8,28.4,1.9,6.9,424
임하,20220709,0,92534.4,1088640,160.9182,27.05,67.9,28.2,1.8,7.4,424
임하,20220710,0.0552,0,1089244.8,159.8165,26.86,70.4,27.7,2.2,7.1,424
임하,20220711,10.9075,210988.8,1088553.6,158.9389,26.71,88.5,24.2,0.6,1.2,424
임하,20220712,0,0,1086652.8,157.8467,26.53,73.8,25.4,1.8,4.6,424
임하,20220713,31.6102,326678.4,1088035.2,157.0853,26.4,83,23.4,1.3,4.4,424
임하,20220714,0.2041,228960,1095811.2,156.2185,26.26,80.4,25.7,1.8,4.5,424
임하,20220715,0,1031443.2,923270.4,156.3267,26.27,70.8,25.7,1.6,10.6,424
임하,20220716,0.2045,490492.8,922838.4,155.8943,26.2,73.4,24.6,1.5,8.3,424
임하,20220717,0,274665.6,921542.4,155.2475,26.09,74.4,24.8,1.5,6.1,424
임하,20220718,12.3107,491097.6,921196.8,154.8174,26.02,86.5,22.5,0.8,4,424
임하,20220719,0,229737.6,658972.8,154.3881,25.95,76.9,25.6,1.4,7.5,424
임하,20220720,0,230169.6,658540.8,153.9598,25.88,68.8,27.2,1.5,10.7,424
임하,20220721,21.1396,444787.2,658627.2,153.7459,25.84,86.8,23.2,1.7,0.2,424
임하,20220722,17.3372,444441.6,658022.4,153.5323,25.8,80.3,23.6,2,5,424
임하,20220723,0.3835,3127248,657244.8,156.0023,26.22,79.3,24.3,1.3,2.7,424
임하,20220724,13.2088,2065737.6,656812.8,157.4113,26.46,85.3,24.6,1.2,2.7,424
임하,20220725,0.7832,1932940.8,659232,158.685,26.67,76.4,27.2,1.5,10.7,424
임하,20220726,0,1130198.4,657244.8,159.1579,26.75,72.6,26.5,1.5,10.4,424
