dam_nm,year,month,pH,TOC,SS,DO,TP,Chl-a,tot_coli,fec_coli,grade
합천,2022,2,7.7,1.8,1.2,9.5,0.0103,0.8,25.0,3.0,Ib
합천,2022,3,7.4,1.8,1.3,10.1,0.01,0.7,109.0,5.0,Ib
합천,2022,4,8.0,1.9,1.6,9.4,0.0106,0.2,66.0,3.0,Ib
합천,2022,5,7.2,2.0,1.9,6.1,0.0104,0.2,123.0,9.0,Ib
합천,2022,6,7.8,1.8,1.5,7.2,0.0103,0.2,89.0,4.0,Ib
합천,2022,7,8.2,1.8,1.9,6.0,0.0116,0.2,86.0,8.0,Ib
합천,2022,8,8.4,1.9,2.1,4.0,0.0127,0.4,61.0,6.0,IV
합천,2022,9,7.7,2.1,2.2,4.4,0.0117,0.3,84.0,9.0,IV
합천,2022,10,7.9,2.4,1.7,5.1,0.0123,0.5,92.0,3.0,Ib
합천,2022,11,7.9,2.1,2.5,6.2,0.0126,0.5,73.0,3.0,Ib
합천,2022,12,7.9,2.0,2.0,7.7,0.0112,1.0,27.0,2.0,Ib
횡성,2021,1,,,,,,,,,Vl
횡성,2021,2,,,,,,,,,Vl
횡성,2021,3,7.6,2.0,1.1,11.7,0.0074,6.3,22.0,3.0,Ib
횡성,2021,4,8.8,2.1,1.3,11.6,0.0093,4.0,7.0,0.0,lb
횡성,2021,5,8.6,1.8,1.5,10.2,0.0114,2.5,439.0,0.0,la
횡성,2021,6,7.3,2.2,1.2,9.3,0.0154,13.0,149.0,1.0,II
횡성,2021,7,7.4,2.0,1.4,8.0,0.0124,6.6,231.0,6.0,Ib
횡성,2021,8,7.6,2.2,2.5,7.5,0.01,9.8,309.0,2.0,II
횡성,2021,9,7.5,2.2,2.6,7.7,0.0093,7.4,222.0,26.0,Ib
횡성,2021,10,7.7,2.2,1.9,7.4,0.0109,8.1143,178.0,4.0,Ib
횡성,2021,11,7.8,2.1,1.8,7.0,0.0106,2.1,107.0,3.0,Ib
횡성,2021,12,7.6,2.1,2.8,9.8,0.0094,3.8,32.0,1.0,Ib
횡성,2022,1,,,,,,,,,Vl
횡성,2022,2,,,,,,,,,Vl
횡성,2022,3,7.5,1.8,1.2,10.4,0.0091,3.8,10.0,0.0,Ib
횡성,2022,4,7.9,1.8,1.0,10.8,0.008,5.3,7.0,0.0,Ib
횡성,2022,5,8.0,1.7,1.7,9.8,0.0113,9.9,17.0,1.0,II
횡성,2022,6,8.0,2.5,2.0,8.4,0.015,12.7,16.0,0.0,II
횡성,2022,7,7.5,2.3,1.9,7.2,0.0157,5.8,1467.0,41.0,III
횡성,2022,8,7.4,2.6,1.3,6.8,0.0137,10.5,3408.0,1.0,III
횡성,2022,9,7.6,1.4,3.8,7.2,0.0109,4.4,1177.0,13.0,III
횡성,2022,10,7.7,2.0,2.7,7.0,0.0106,9.8,807.0,1.0,II
횡성,2022,11,7.4,1.7,1.3,7.3,0.0117,2.7,67.0,1.0,Ib
횡성,2022,12,7.6,2.0,1.8,9.2,0.0097,6.5,9.0,1.0,Ib
